name,rating,price,restaurant_type,description,address,google_maps_url
Soces,4.5,,Seafood restaurant,,"32 Rue de la Villette, 75019 Paris, France","https://www.google.fr/maps/place/Soces/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66d778918cd1d:0x8a9bfa2a71f91aab!8m2!3d48.8763403!4d2.3878381!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSARJzZWFmb29kX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11sfdp08z5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La Cantine Bretonne,4.5,€20–30,Creperie,"Stylish restaurant offering traditional Breton cuisine & pancakes, plus ciders & cocktails.","22bis Rue de l'Ourcq, 75019 Paris, France","https://www.google.fr/maps/place/La+Cantine+Bretonne/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66d2653802ee5:0x9083fec8d5b0f3b5!8m2!3d48.8892477!4d2.3839921!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQhjcmVwZXJpZeABAA!16s%2Fg%2F11g0gddhlm?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Papa Paris 19,4.2,€20–30,French restaurant,,"13 Rue du Pré Saint-Gervais, 75019 Paris, France","https://www.google.fr/maps/place/Chez+Papa+Paris+19/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dbfc65fe629:0x28506a4cdfac44b1!8m2!3d48.8762911!4d2.3928482!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tg5bdvh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le passage à niveau,4.4,€20–30,Restaurant,Seasonal mains & small plates served in a light-filled eatery featuring a terrace & vegetable beds.,"2A Rue de l'Ourcq, 75019 Paris, France","https://www.google.fr/maps/place/Le+passage+%C3%A0+niveau/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66d25ca29d34b:0xb68737125c193a45!8m2!3d48.8876506!4d2.3851322!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11jdmphnbm?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
BOTZA - Paris 19,4.6,€20–30,Restaurant,,"86 Rue Botzaris, 75019 Paris, France","https://www.google.fr/maps/place/BOTZA+-+Paris+19/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dfb2a5e2b67:0xec0f2830b7a26fb3!8m2!3d48.8794083!4d2.3895216!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11sskm0xp6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les Frères Laumière,4.7,€20–30,Restaurant,,"3 Av. de Laumière, 75019 Paris, France","https://www.google.fr/maps/place/Les+Fr%C3%A8res+Laumi%C3%A8re/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66d05c30bb971:0x2f756626a64f9bc4!8m2!3d48.8829033!4d2.381203!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h_t57z1q?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Escargot Bar,4.6,€20–30,Restaurant,"Snug neighborhood bar/restaurant serving creative takes on French classics, plus wine pairings.","50 Rue de la Villette, 75019 Paris, France","https://www.google.fr/maps/place/L'Escargot+Bar/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dc1b1356e9f:0xfcdb9baf0ed69e85!8m2!3d48.8770408!4d2.3879528!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1tjz2p5y?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Patio,4.3,$$,Restaurant,,"8 Rue Augustin Thierry, 75019 Paris, France","https://www.google.fr/maps/place/Le+Patio/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dbe34f41af5:0x7b68055d729a1f47!8m2!3d48.8763581!4d2.3941812!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1yh4g8pys?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'ILIADE,4.6,€20–30,Mediterranean restaurant,,"59 Rue de Belleville, 75019 Paris, France","https://www.google.fr/maps/place/L'ILIADE/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66de857256e83:0xc4fbfa2cc96804cc!8m2!3d48.8733871!4d2.3819249!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSARhtZWRpdGVycmFuZWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tmxdwbz?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Tonton Jaurès Restaurant,4.1,€30–40,French restaurant,,"174 Av. Jean Jaurès, 75019 Paris, France","https://www.google.fr/maps/place/Tonton+Jaur%C3%A8s+Restaurant/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dc8f8856ab5:0xd96f4a73ddd0227b!8m2!3d48.8875332!4d2.3892622!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tdcl82t?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
