name,rating,price,restaurant_type,description,address,google_maps_url
Restaurant Île de la Réunion,4.3,$$,Creole restaurant,,"96 Rue Daguerre, 75014 Paris, France","https://www.google.fr/maps/place/Restaurant+%C3%8Ele+de+la+R%C3%A9union/@48.8329665,2.3124079,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+14!3m6!1s0x47e66d8865a8ec41:0x6af6937ced491cee!8m2!3d48.8361109!4d2.3241331!15sChNyZXN0YXVyYW50IHBhcmlzIDE0WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTSSARFjcmVvbGVfcmVzdGF1cmFudOABAA!16s%2Fg%2F1thq94yg?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Black Pinky,4.4,€20–30,Restaurant,,"30 Rue de la Gaité, 75014 Paris, France","https://www.google.fr/maps/place/Black+Pinky/@48.8329665,2.3124079,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+14!3m6!1s0x47e671cafdef5ed9:0xfbc92df83a3c7ab1!8m2!3d48.839068!4d2.3228546!15sChNyZXN0YXVyYW50IHBhcmlzIDE0WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1tdy3sst?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Bourguignon du Marais,4.6,$$,French restaurant,"Escargot, beef bourguignon & other traditional Burgundy cuisine in a polished restaurant.","52 Rue François Miron, 75004 Paris, France","https://www.google.fr/maps/place/Au+Bourguignon+du+Marais/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fd65196a63:0xe84c235395093b65!8m2!3d48.8554413!4d2.3575828!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tgg989f?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Salento Marais,4.6,€20–30,Italian restaurant,"Artfully presented antipasti, pasta & Italian mains in an elegant, retro-chic venue with a terrace.","6 Rue de Jarente, 75004 Paris, France","https://www.google.fr/maps/place/Salento+Marais/@48.8632739,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e1c949bc871:0x35396d02021ea2b4!8m2!3d48.855741!4d2.3629613!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1tcyds90?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Colimaçon,4.6,$$,French restaurant,Creative takes on French bistro dishes in a snug space with raw-stone walls & wooden beams.,"44 Rue Vieille du Temple, 75004 Paris, France","https://www.google.fr/maps/place/Le+Colima%C3%A7on/@48.8632776,2.3384501,4282m/data=!3m2!1e3!5s0x47e66e02fa2e3db9:0xeae05d70606e55eb!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e02fb1790d3:0x2c3aa6eb209360fb!8m2!3d48.858012!4d2.3580635!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tqnky4m?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les Mauvais Garçons,4.3,$$,Restaurant,,"4 Rue des Mauvais Garçons, 75004 Paris, France","https://www.google.fr/maps/place/Les+Mauvais+Gar%C3%A7ons/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e1d4f697a7d:0x6ed4bc73ad2bb7cd!8m2!3d48.8568105!4d2.355202!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F1vcjlkbw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Mademoiselle,4.6,$$,French restaurant,"Informal restaurant with a terrace serving local staples including seafood & meat dishes, plus wine.","16 Rue Charlemagne, 75004 Paris, France","https://www.google.fr/maps/place/Chez+Mademoiselle/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fdc0d3b541:0x6003c91e7bd7b5af!8m2!3d48.854376!4d2.3599826!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1ydpvbhn8?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Chanard,4.7,$$,French restaurant,"Intimate venue with a small terrace & cozy interiors, offering classic French entrées & wine.","8 Rue Saint-Paul, 75004 Paris, France","https://www.google.fr/maps/place/Le+Chanard/@48.8632776,2.3384501,4282m/data=!3m2!1e3!5s0x47e671fe86ca5d43:0x769c862e15242156!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fe8224ab3f:0xa85d77d0fefa6c3a!8m2!3d48.8530556!4d2.3613889!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1w0sc5fc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Ajia,4.6,€20–30,Taiwanese restaurant,"Traditional Taiwanese seafood & meat dishes, served in a chic, plant-filled venue with a terrace.","4 Rue du Roi de Sicile, 75004 Paris, France","https://www.google.fr/maps/place/Chez+Ajia/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671110e395de7:0x8ffbd2c78f4e20d7!8m2!3d48.8556532!4d2.3607875!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEUdGFpd2FuZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11gmcbkcvw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les petites bouchées,4.7,€20–30,Restaurant,"Eclectic range of dishes to share, including beef tataki & salmon gravlax, in a plant-filled space.","4 Rue du Roi de Sicile, 75004 Paris, France","https://www.google.fr/maps/place/Les+petites+bouch%C3%A9es/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fdf9092fe9:0x75d97c3a1bab1e70!8m2!3d48.8556851!4d2.3607699!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11b6bcl53_?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Don Giovanni,4.7,€20–30,Italian restaurant,Homestyle Italian dishes from antipasti to desserts in a convivial space with wood & brick accents.,"19 Rue François Miron, 75004 Paris, France","https://www.google.fr/maps/place/Don+Giovanni/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fd60e8a84b:0x156e41b9e9cf429b!8m2!3d48.8557884!4d2.3572672!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1thbvzrp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La Réserve Du Terroir - Restaurant Paris 4,4.6,€20–30,Restaurant,"Traditional bistro dishes like snail casserole & beef entrecote served in a warm, relaxed setting.","13 R. Quincampoix, 75004 Paris, France","https://www.google.fr/maps/place/La+R%C3%A9serve+Du+Terroir+-+Restaurant+Paris+4/@48.859703,2.3137501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66f64d0be1a93:0x56e67fd92d9bafe6!8m2!3d48.859703!4d2.349799!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11jk5s_c4w?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
GrandCœur,4.4,$$$,French restaurant,,"41 Rue du Temple, 75004 Paris, France","https://www.google.fr/maps/place/GrandC%C5%93ur/@48.8596007,2.3178263,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e1cf4904391:0x20d2a585b6417a58!8m2!3d48.8596007!4d2.3538752!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11b7stl6qh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les Fous de l'Ile,4.3,$$,French restaurant,"Traditional cuisine in a relaxed, modern bistro decorated with chicken-related images & objects.","33 Rue des Deux Ponts, 75004 Paris, France","https://www.google.fr/maps/place/Les+Fous+de+l'Ile/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fceaca5145:0xd2e0166d9bd616b9!8m2!3d48.8522167!4d2.3567528!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tdxdlkc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Margot,4.4,€20–30,French restaurant,"Traditional French bistro with TV sports & a covered terrace, specializing in Salers beef.","25 Bd Henri IV, 75004 Paris, France","https://www.google.fr/maps/place/Chez+Margot/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671ff3da05063:0xc4ed5158e9b30567!8m2!3d48.8519448!4d2.3645148!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1vpfhw35?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Julien,4.0,$$$,French restaurant,"Select bistro with outdoor seats & stylish decor serving elevated breakfasts, mains, dessert & wine.","1 Rue du Pont Louis-Philippe, 75004 Paris, France","https://www.google.fr/maps/place/Chez+Julien/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671e2b6030813:0x514d9579ed8662c!8m2!3d48.8547356!4d2.3551411!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tjs47k4?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Pamela Popo,4.6,$$,Restaurant,,"15 Rue François Miron, 75004 Paris, France","https://www.google.fr/maps/place/Pamela+Popo/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fd5e3316fb:0x6a034d8e4eefc6a5!8m2!3d48.8557928!4d2.357048!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F1t_kfv5_?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'hirondelle - Paris 4,4.7,€20–30,French restaurant,,"42 Bd Henri IV, 75004 Paris, France","https://www.google.fr/maps/place/L'hirondelle+-+Paris+4/@48.8632776,2.3384501,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e673ab56631e6f:0x9d95e8b17d9cd5b3!8m2!3d48.8523425!4d2.3671043!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11stnlfbx1?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Petit Marcel,4.1,$$,French restaurant,,"65 Rue Rambuteau, 75004 Paris, France","https://www.google.fr/maps/place/Le+Petit+Marcel/@48.861679,2.3151231,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e1be4a645ff:0x8c85d8c0a2501821!8m2!3d48.861679!4d2.351172!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgERZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tdfy0jc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Loulou,4.2,€20–30,Bistro,North African tagine dishes at a richly decorated bistro with patio tables & live jazz performances.,"63 Rue Rambuteau, 75004 Paris, France","https://www.google.fr/maps/place/Loulou/@48.861679,2.3151231,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e66e1bf015f7c3:0x92e28a26c1efce58!8m2!3d48.8616248!4d2.3513124!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEGYmlzdHJv4AEA!16s%2Fg%2F1td12kxg?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Nostre,4.4,€20–30,Restaurant,,"86 Rue Saint-Antoine, 75004 Paris, France","https://www.google.fr/maps/place/Nostre/@48.861679,2.3151231,4282m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+4!3m6!1s0x47e671fe160220b1:0xf0e9da011158cd3b!8m2!3d48.8548605!4d2.3625681!15sChJyZXN0YXVyYW50IHBhcmlzIDRaFCIScmVzdGF1cmFudCBwYXJpcyA0kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11clzqlryf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Papa 13,4.2,€20–30,Southwest France restaurant,,"27 Rue de la Colonie, 75013 Paris, France","https://www.google.fr/maps/place/Chez+Papa+13/@48.8299137,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e67199d1184187:0x9f07459539d08917!8m2!3d48.8248576!4d2.346939!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARtzb3V0aHdlc3RfZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1vxfzgww?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Chez Papa 13,4.2,€20–30,Southwest France restaurant,,"27 Rue de la Colonie, 75013 Paris, France","https://www.google.fr/maps/place/Chez+Papa+13/@48.8299128,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e67199d1184187:0x9f07459539d08917!8m2!3d48.8248576!4d2.346939!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARtzb3V0aHdlc3RfZnJlbmNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1vxfzgww?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Au Petit Village,4.7,€20–30,Restaurant,"Signature couscous, plus Middle Eastern pastries & green tea, in a cozy, easygoing restaurant.","6 Rue Coypel, 75013 Paris, France","https://www.google.fr/maps/place/Au+Petit+Village/@48.8299119,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6718da9c0386d:0xa1e07de31598e579!8m2!3d48.8332802!4d2.356205!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1v_z86gt?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Sourire,4.7,€100+,Haute French restaurant,,"15 Rue de la Santé, 75013 Paris, France","https://www.google.fr/maps/place/Sourire/@48.8372188,2.3240106,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671c0171b6433:0xf84adc3b4abf57bb!8m2!3d48.8372188!4d2.342035!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARdoYXV0ZV9mcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F11c5rtrt02?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
TI AMO - PLACE D'ITALIE,4.5,€10–20,Pizza restaurant,,"27 Bd Auguste Blanqui, 75013 Paris, France","https://www.google.fr/maps/place/TI+AMO+-+PLACE+D'ITALIE/@48.82991,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e67108adfef70d:0x47854a0f312450e3!8m2!3d48.8301035!4d2.3525404!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARBwaXp6YV9yZXN0YXVyYW504AEA!16s%2Fg%2F11lgm2_ns8?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Chez Gladines Butte aux Cailles,4.4,€20–30,Basque restaurant,"Stews, escalopes & other farmhouse dishes from southwest France in a cozy dining room.","30 Rue des cinq Diamants, 75013 Paris, France","https://www.google.fr/maps/place/Chez+Gladines+Butte+aux+Cailles/@48.8299091,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6719100adc7e5:0x9fe67cea24d0331d!8m2!3d48.828804!4d2.3506!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARFiYXNxdWVfcmVzdGF1cmFudOABAA!16s%2Fg%2F1td0ftkm?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Le Temps des Cerises,4.3,€20–30,French restaurant,,"18-20 Rue de la Butte aux Cailles, 75013 Paris, France","https://www.google.fr/maps/place/Le+Temps+des+Cerises/@48.8299082,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6719057714a87:0x15294b22364f199f!8m2!3d48.8279102!4d2.3504885!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tk1yc1p?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Chez Nathalie,4.4,€30–40,Restaurant,Refined meat & fish plates paired with French wines in a light-filled room or at sidewalk tables.,"45 Rue Vandrezanne, 75013 Paris, France","https://www.google.fr/maps/place/Chez+Nathalie/@48.8299073,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671902e93e92d:0x3434558e57383173!8m2!3d48.8279419!4d2.3528304!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1tdj3jcf?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
PÂTES THAÏ Place d’italie,4.8,€10–20,Thai restaurant,,"6 Rue Primatice, 75013 Paris, France","https://www.google.fr/maps/place/P%C3%82TES+THA%C3%8F+Place+d%E2%80%99italie/@48.8299064,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671313d1ae9a1:0x2ff768e333b6e6cf!8m2!3d48.8336644!4d2.3554608!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQ90aGFpX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11kc8r2w4h?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
La Bonne Mer,4.7,,Seafood restaurant,,"22 Rue du Moulin des Prés, 75013 Paris, France","https://www.google.fr/maps/place/La+Bonne+Mer/@48.8299054,2.3358246,2142m/data=!3m2!1e3!5s0x47e67191cd84ef97:0x112972a92d46d893!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671b15fa99a0b:0xb2f811060133b31d!8m2!3d48.828527!4d2.3526904!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARJzZWFmb29kX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11ljvlcxst?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Comme Au Vietnam,4.4,€20–30,Vietnamese restaurant,,"195 Av. de Choisy, 75013 Paris, France","https://www.google.fr/maps/place/Comme+Au+Vietnam/@48.8299045,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6718ef2b3b04f:0x373ba345744b458c!8m2!3d48.8295661!4d2.3569766!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11b75ht0r2?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
La Butte Aux Piafs,4.3,€20–30,Restaurant,,"31 Bd Auguste Blanqui, 75013 Paris, France","https://www.google.fr/maps/place/La+Butte+Aux+Piafs/@48.8299054,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671919479c2cb:0x38e603b6ee83faae!8m2!3d48.8298981!4d2.3519731!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1yfp3jtgv?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Auberge de la Butte,4.0,€20–30,French restaurant,"Homey place for French specialties like stews & tartare, plus national wines & traditional sweets.","8 Rue de la Butte aux Cailles, 75013 Paris, France","https://www.google.fr/maps/place/Auberge+de+la+Butte/@48.8299054,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6719049ea9a9b:0x7552ae18e5c14729!8m2!3d48.8280692!4d2.3518667!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1th0xnv7?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Impérial Choisy 美丽都,3.9,€20–30,Chinese restaurant,Roasted ducks hang in the window of this simple Chinese destination for Cantonese meals.,"32 Av. de Choisy, 75013 Paris, France","https://www.google.fr/maps/place/Imp%C3%A9rial+Choisy+%E7%BE%8E%E4%B8%BD%E9%83%BD/@48.8299054,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671876eceb61f:0xa5d914176a7f266!8m2!3d48.8222222!4d2.3633333!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARJjaGluZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tf6r2ry?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Baan Issan,4.7,€20–30,Thai restaurant,,"12 Rue Véronèse, 75013 Paris, France","https://www.google.fr/maps/place/Baan+Issan/@48.8299054,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6718d7a0cc479:0xc73f1518cab66bef!8m2!3d48.8337541!4d2.3545815!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQ90aGFpX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11b7rtsryv?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
Le Sarawan,4.3,€20–30,Asian restaurant,,"111-113 Av. d'Ivry, 75013 Paris, France","https://www.google.fr/maps/place/Le+Sarawan/@48.8299054,2.3358246,2142m/data=!3m2!1e3!5s0x47e6718628fb45ef:0x25973c60dc2888ef!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e6718629bd97ed:0x6add3c28e945c266!8m2!3d48.8255324!4d2.3609911!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARBhc2lhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1tf9mkl6?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
L'Auberge du Roi Gradlon,4.5,€40–50,Restaurant,,"36 Bd Arago, 75013 Paris, France","https://www.google.fr/maps/place/L'Auberge+du+Roi+Gradlon/@48.8299054,2.3358246,2142m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e67194c4d37b59:0xd79eddc9e67d758b!8m2!3d48.8352883!4d2.3462613!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1pv6zdl9b?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
HAO HAO 好好,3.9,€10–20,Asian restaurant,"Noodles & Chinese soups, plus pork & duck dishes, in a casual, glass-fronted restaurant.","23 Av. de Choisy, 75013 Paris, France","https://www.google.fr/maps/place/HAO+HAO+%E5%A5%BD%E5%A5%BD/@48.8299054,2.3358246,2142m/data=!3m2!1e3!5s0x47e67187508c170d:0x9793c31d6605852!4m10!1m2!2m1!1srestaurant+paris+13!3m6!1s0x47e671875bc168c3:0xeb238218355f30c!8m2!3d48.8212509!4d2.3634879!15sChNyZXN0YXVyYW50IHBhcmlzIDEzWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTOSARBhc2lhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1w0p4ylv?entry=ttu&g_ep=EgoyMDI1MDEyMC4wIKXMDSoASAFQAw%3D%3D"
