location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
13198135,Autour du Yangtse,,"150 rue Saint Honoré, 75001 Paris France",€€ - €€€,4.5,42,"{'1': '1', '2': '1', '3': '3', '4': '12', '5': '25'}","Chinoise, Asiatique"
8297659,McDonald's,"Commandez en ligne et retrouvez facilement toutes les informations McDonald's: le restaurant le plus proche, les actualités, les informations produits et toutes les nouveautés.","Avenue De Flandres, 87, 75019 Paris France",€,2.5,18,"{'1': '8', '2': '1', '3': '5', '4': '3', '5': '1'}",Restauration rapide
27525458,Passion Café,,"46 Rue Damremont, 75018 Paris France",,,0,,
19488093,O Banh Mi,,"56 Place Saint-Charles, 75015 Paris France",,3.5,3,"{'1': '0', '2': '0', '3': '2', '4': '0', '5': '1'}","Asiatique, Vietnamienne"
7316885,Burger King,"Fondée en 1954 à Miami, BURGER KING® est aujourd'hui la 2e chaîne de burger au monde. Son succès repose sur un concept unique et un produit mythique, le WHOPPER®.","78-80 Avenue Du Général Leclerc, 75014 Paris France",€,3.0,97,"{'1': '21', '2': '23', '3': '15', '4': '25', '5': '13'}","Restauration rapide, Américaine"
12076815,Vivaio Paris,,"28 Rue De La Pépinière, 75008 Paris France",,4.5,6,"{'1': '0', '2': '0', '3': '0', '4': '3', '5': '3'}","Italienne, Pizza"
28034597,Stef O Pizz,,"2, Rue Des Alouettes, 28160 Brou France",,,0,,Pizza
12071403,Pho 15,,"6 Rue D'Alleray, 75015 Paris France",€€ - €€€,3.5,27,"{'1': '5', '2': '2', '3': '2', '4': '7', '5': '11'}","Asiatique, Vietnamienne, Chinoise"
2493025,Tra Amici,,"110 rue Leon Maurice Nordmann, 75013 Paris France",€,4.0,52,"{'1': '0', '2': '3', '3': '9', '4': '25', '5': '15'}","Italienne, Pizza, Européenne"
1972826,La Criée La Villette Paris 19,"Votre restaurant La Criée Paris La Villette vous accueille pour un moment agréable et convivial, autour de ses plateaux de fruits de mer, son large choix de poissons et autres gourmandises. Moules frites, tartare de saumon, carpaccios, pavés de thon et de saumon et autres produits de la mer sont sur notre carte des menus. Un menu enfant au meilleur rapport qualité prix est aussi disponible pour les petits. Et n'oubliez pas notre carte de desserts ! Votre restaurant La Criée Paris La Villette vous accueille du lundi au dimanche pour vos déjeuners ou vos dîners en famille, entre amis ou entre collègues. Vous pouvez consulter les informations de votre restaurant La Criée à PARIS et nos cartes des menus et des vins.","68 Quai de Seine Holiday Inn Express Paris, 75019 Paris France",€€ - €€€,3.5,492,"{'1': '49', '2': '55', '3': '77', '4': '167', '5': '144'}","Fruits de mer et poisson, Française"
